RK,ID,NAME,TEAM,POS,GAMES,PASSING YDS,PASSING TD,PASSING INT,RUSHING YDS,RUSHING TD,RECEIVING RECEPTIONS,RECEIVING YARDS,RECEIVING TDS,D - SACKS,D - INTERCEPTIONS,D - FF,D - FR,PTS/GAME,TOTAL POINTS
1,19801, Josh Allen,BUF,QB,16,4544,37,10,421,8,1,12,1,0,0,0,0,24.8,396.06
2,2593, Aaron Rodgers,GB,QB,16,4299,48,5,149,3,1,-6,0,0,0,0,0,24,383.26
3,20889, Kyler Murray,ARI,QB,16,3971,26,12,819,11,0,0,0,0,0,0,0,23.7,378.74
4,18878, Alvin Kamara,NO,RB,15,0,0,0,932,16,83,756,5,0,0,0,0,25.2,377.8
5,18890, Patrick Mahomes,KC,QB,15,4740,38,6,308,2,0,0,0,0,0,0,0,25,374.4
6,18857, Deshaun Watson,HOU,QB,16,4823,33,7,444,3,0,0,0,0,0,0,0,23.1,369.32
7,14536, Russell Wilson,SEA,QB,16,4212,40,13,513,2,0,0,0,0,0,0,0,22.5,359.78
8,16470, Davante Adams,GB,WR,14,0,0,0,0,0,115,1374,18,0,0,0,0,25.6,358.4
9,13799, Ryan Tannehill,TEN,QB,16,3819,33,7,266,7,1,0,0,0,0,0,0,21.5,344.36
10,4314, Tom Brady,TB,QB,16,4633,40,12,6,3,0,0,0,0,0,0,0,21.1,337.92
11,18872, Dalvin Cook,MIN,RB,14,0,0,0,1557,16,44,361,1,0,0,0,0,24.1,337.8
12,17959, Derrick Henry,TEN,RB,16,0,0,0,2027,17,19,114,0,0,0,0,0,20.8,333.1
13,21681, Justin Herbert,LAC,QB,15,4336,31,10,234,5,0,0,0,0,0,0,0,22.2,332.84
14,19781, Lamar Jackson,BAL,QB,15,2757,26,9,1005,7,0,0,0,0,0,0,0,22.2,332.78
15,18082, Tyreek Hill,KC,WR,15,0,0,0,123,2,87,1276,15,0,0,1,0,21.9,328.9
16,16906, Stefon Diggs,BUF,WR,16,0,0,0,1,0,127,1535,8,0,0,0,0,20.5,328.6
17,15048, Travis Kelce,KC,TE,15,4,0,0,0,0,105,1416,11,0,0,0,0,20.9,312.76
18,14252, Kirk Cousins,MIN,QB,16,4265,35,13,156,1,0,0,0,0,0,0,0,19.1,306.2
19,14986, DeAndre Hopkins,ARI,WR,16,0,0,0,1,0,115,1407,6,0,0,0,0,18,287.8
20,19802, Calvin Ridley,ATL,WR,15,0,0,0,1,0,90,1374,9,0,0,0,0,18.8,281.5
21,732, Matt Ryan,ATL,QB,16,4581,26,11,92,2,0,0,0,0,0,0,0,17.5,280.44
22,16964, Darren Waller,LV,TE,16,0,0,0,0,0,107,1196,9,0,0,0,0,17.4,278.6
23,21685, Justin Jefferson,MIN,WR,16,0,0,0,2,0,88,1400,7,0,0,0,0,17.1,274.2
24,16311, Derek Carr,LV,QB,16,4103,27,9,140,3,0,0,0,0,0,0,0,17,272.12
25,20875, DK Metcalf,SEA,WR,16,0,0,0,0,0,83,1303,10,0,0,0,0,17,271.3
26,3807, Ben Roethlisberger,PIT,QB,15,3803,33,10,11,0,0,0,0,0,0,0,0,17.8,267.22
27,16830, Tyler Lockett,SEA,WR,16,0,0,0,0,0,100,1054,10,0,0,0,0,16.6,265.4
28,20882, David Montgomery,CHI,RB,15,0,0,0,1070,8,54,438,2,0,0,0,0,17.7,264.8
29,16263, Allen Robinson II,CHI,WR,16,0,0,0,-1,0,102,1250,6,0,0,0,0,16.4,262.9
30,13320, Cam Newton,NE,QB,15,2657,8,10,592,12,2,35,1,0,0,0,0,17.4,260.98
31,9038, Matthew Stafford,DET,QB,16,4084,26,10,112,0,0,0,0,0,0,0,0,16.3,260.56
32,19045, Aaron Jones,GB,RB,14,0,0,0,1104,9,47,355,2,0,0,0,0,18.5,258.9
33,15534, Adam Thielen,MIN,WR,15,0,0,0,15,0,74,925,14,0,0,0,0,16.9,254
34,21682, Jonathan Taylor,IND,RB,15,0,0,0,1169,11,36,299,1,0,0,0,0,16.9,252.8
35,21970, James Robinson,JAX,RB,14,0,0,0,1070,7,49,344,3,0,0,0,0,17.9,250.4
36,19790, Baker Mayfield,CLE,QB,16,3563,26,8,165,1,1,6,0,0,0,0,0,15.5,248.62
37,16597, Mike Evans,TB,WR,16,0,0,0,0,0,70,1006,13,0,0,0,0,15.5,248.6
38,14871, Robert Woods,LAR,WR,16,0,0,0,155,2,90,936,6,0,0,0,0,15.3,245.1
38,15076, Keenan Allen,LAC,WR,14,0,0,0,-1,0,100,992,8,0,0,0,0,17.5,245.1
40,21042, A.J. Brown,TEN,WR,14,0,0,0,0,0,70,1075,11,0,0,0,0,17.2,241.5
41,16497, Teddy Bridgewater,CAR,QB,15,3733,15,11,279,5,0,0,0,0,0,0,0,16.1,241.22
42,17922, Jared Goff,LAR,QB,15,3952,20,13,99,4,0,0,0,0,0,0,0,16,239.98
43,8244, Philip Rivers,IND,QB,16,4169,24,11,-8,0,0,0,0,0,0,0,0,15,239.96
44,16765, Amari Cooper,DAL,WR,16,0,0,0,14,0,92,1114,5,0,0,0,0,14.8,236.8
45,18883, JuJu Smith-Schuster,PIT,WR,16,0,0,0,0,0,97,831,9,0,0,0,1,14.6,234.1
46,16568, Brandin Cooks,HOU,WR,15,0,0,0,0,0,81,1150,6,0,0,0,0,15.5,232
47,20824, Josh Jacobs,LV,RB,15,0,0,0,1065,12,33,238,0,0,0,0,0,15.4,231.3
48,13870, Marvin Jones Jr.,DET,WR,16,0,0,0,0,0,76,978,9,0,0,0,0,14.2,227.8
49,18187, Robby Anderson,CAR,WR,16,0,0,0,15,0,95,1096,3,0,0,0,0,14,224.1
50,20873, Terry McLaurin,WAS,WR,15,0,0,0,30,0,87,1118,4,0,0,0,0,14.9,223.8
51,17923, Ezekiel Elliott,DAL,RB,15,0,0,0,979,6,52,338,2,0,0,0,0,14.9,223.7
52,21077, Diontae Johnson,PIT,WR,15,0,0,0,15,0,88,923,7,0,0,0,0,14.8,221.8
53,18944, Kareem Hunt,CLE,RB,16,0,0,0,841,6,38,304,5,0,0,0,0,13.7,218.5
54,21752, Chase Claypool,PIT,WR,16,0,0,0,16,2,62,873,9,0,0,0,0,13.4,214.9
55,18928, Curtis Samuel,CAR,WR,15,0,0,0,200,2,77,851,3,0,0,0,0,14.1,212.1
56,21679, CeeDee Lamb,DAL,WR,16,0,0,0,82,1,74,935,5,0,0,0,0,13.2,211.7
57,19844, DJ Moore,CAR,WR,15,0,0,0,22,0,66,1193,4,0,0,1,0,14.1,211.5
58,7242, Drew Brees,NO,QB,12,2942,24,6,-2,2,0,0,0,0,0,0,0,17.5,209.48
59,18882, Cooper Kupp,LAR,WR,15,0,0,0,33,0,92,974,3,0,0,0,0,13.9,208.7
60,19798, Nick Chubb,CLE,RB,12,0,0,0,1067,12,16,150,0,0,0,0,0,17.3,207.7
61,14141, Cole Beasley,BUF,WR,15,20,1,0,0,0,82,967,4,0,0,0,0,13.8,207.5
62,16887, Mike Davis,CAR,RB,15,0,0,0,642,6,59,373,2,0,0,0,0,13.8,206.5
63,21861, Antonio Gibson,WAS,RB,14,0,0,0,795,11,36,247,0,0,0,0,0,14.4,202.2
64,17920, Carson Wentz,PHI,QB,12,2620,16,15,276,5,0,0,0,0,0,0,0,16.5,198.4
64,16776, Melvin Gordon III,DEN,RB,15,0,0,0,986,9,32,158,1,0,0,0,0,13.2,198.4
66,21690, Tee Higgins,CIN,WR,16,0,0,0,28,0,67,908,6,0,0,0,0,12.2,194.6
67,19912, Nyheim Hines,IND,RB,16,0,0,0,380,3,63,482,4,0,0,0,0,12.1,193.2
68,17986, Tyler Boyd,CIN,WR,15,16,0,0,49,0,79,841,4,0,0,0,0,12.8,192.64
69,18003, Kenyan Drake,ARI,RB,15,0,0,0,955,10,25,137,0,0,0,0,0,12.8,192.2
70,18879, Corey Davis,TEN,WR,14,0,0,0,0,0,65,984,5,0,0,0,0,13.7,191.4
70,18464, J.D. McKissic,WAS,RB,16,0,0,0,365,1,80,589,2,0,0,0,0,12,191.4
72,18880, Chris Godwin,TB,WR,12,0,0,0,0,0,65,840,7,0,0,0,0,15.9,191
73,20981, Devin White,TB,ILB,15,0,0,0,0,0,0,0,0,9,0,2,1,12.7,189.9
74,21684, D'Andre Swift,DET,RB,13,0,0,0,521,8,46,357,2,0,0,0,0,14.6,189.8
75,17916, William Fuller V SUS,HOU,WR,11,0,0,0,0,0,53,879,8,0,0,0,0,17.2,188.9
76,16020, Jarvis Landry,CLE,WR,15,74,1,0,10,1,72,840,3,0,0,0,0,12.5,187.96
77,19119, Chris Carson,SEA,RB,12,0,0,0,681,5,37,287,4,0,0,0,0,15.6,187.8
78,19861, Ronald Jones II,TB,RB,14,0,0,0,978,7,28,165,1,0,0,0,0,13.3,186.3
79,16781, Nelson Agholor,LV,WR,16,0,0,0,0,0,48,896,8,0,0,0,0,11.6,185.6
80,21747, Brandon Aiyuk,SF,WR,12,0,0,0,77,2,60,748,5,0,0,0,0,15.4,184.5
81,21045, Marquise Brown,BAL,WR,16,0,0,0,1,0,58,769,8,0,0,0,0,11.4,183
82,20859, Drew Lock,DEN,QB,13,2933,16,15,160,3,0,0,0,0,0,0,0,13.9,181.32
83,20006, Russell Gage,ATL,WR,16,39,1,0,9,0,72,786,4,0,0,0,0,11.3,181.06
84,20841, Daniel Jones,NYG,QB,14,2943,11,10,423,1,0,0,0,0,0,0,0,12.9,180.02
85,16847, David Johnson,HOU,RB,12,0,0,0,691,6,33,314,2,0,0,0,0,15,179.5
86,16656, Logan Thomas,WAS,TE,16,28,0,0,5,0,72,670,6,0,0,0,0,11,176.62
87,19491, Robert Tonyan,GB,TE,16,0,0,0,0,0,52,586,11,0,0,0,0,11,176.6
88,21769, Clyde Edwards-Helaire,KC,RB,13,0,0,0,803,4,36,297,1,0,0,0,0,13.5,176
89,20805, T.J. Hockenson,DET,TE,16,0,0,0,0,0,67,723,6,0,0,0,0,11,175.3
90,21693, Joe Burrow O,CIN,QB,10,2688,13,5,142,3,0,0,0,0,0,0,0,17.4,173.72
91,19867, Michael Gallup,DAL,WR,16,0,0,0,0,0,59,843,5,0,0,0,0,10.8,173.3
92,16866, Jamison Crowder,NYJ,WR,12,43,1,0,14,0,59,699,6,0,0,0,0,14.3,172.02
93,18916, T.J. Watt,PIT,OLB,15,0,0,0,0,0,0,0,0,15,1,1,0,11.4,170.55
94,20933, Miles Sanders,PHI,RB,12,0,0,0,867,6,28,197,0,0,0,0,0,14.2,170.4
95,19803, Mark Andrews,BAL,TE,14,0,0,0,0,0,58,701,7,0,0,0,0,12.2,170.1
96,19827, Roquan Smith,CHI,ILB,16,0,0,0,0,0,0,0,0,4,2,1,0,10.6,169.7
97,21674, J.K. Dobbins,BAL,RB,15,0,0,0,805,9,18,120,0,0,0,0,0,11.2,168.5
98,19919, Chase Edmonds,ARI,RB,16,0,0,0,448,1,53,402,4,0,0,0,0,10.5,168
99,16775, DeVante Parker,MIA,WR,14,0,0,0,0,0,63,793,4,0,0,0,0,11.9,166.3
100,19562, Austin Ekeler,LAC,RB,10,0,0,0,530,1,54,403,2,0,0,0,0,16.5,165.3
