RK,ID,NAME,TEAM,BYE,AGE,POS,POS RK,PTS,ADP
1,18877, Christian McCaffrey,CAR,13,25,RB,RB1,361.41,1.3
2,18872, Dalvin Cook,MIN,7,25,RB,RB2,318.07,2.6
3,17959, Derrick Henry,TEN,13,27,RB,RB3,293.1,4
4,19766, Saquon Barkley,NYG,10,24,RB,RB4,285.61,4.5
4,18878, Alvin Kamara,NO,6,25,RB,RB5,292.66,4.5
6,21682, Jonathan Taylor,IND,14,22,RB,RB6,275.59,6.6
7,17923, Ezekiel Elliott,DAL,7,25,RB,RB7,270.75,6.8
8,19798, Nick Chubb,CLE,13,25,RB,RB8,259.9,7.8
9,15048, Travis Kelce,KC,12,31,TE,TE1,299.62,8.9
10,16470, Davante Adams,GB,13,28,WR,WR1,334.15,10.3
11,18082, Tyreek Hill,KC,12,27,WR,WR2,306.59,10.9
12,19045, Aaron Jones,GB,13,26,RB,RB9,267.9,11.2
13,19562, Austin Ekeler,LAC,7,26,RB,RB10,266.81,11.5
14,16906, Stefon Diggs,BUF,7,27,WR,WR3,286.1,13.4
15,21688, Cam Akers,LAR,11,21,RB,RB11,249.28,13.9
16,14986, DeAndre Hopkins,ARI,12,29,WR,WR4,290.4,15.5
17,21861, Antonio Gibson,WAS,9,22,RB,RB12,235.17,16.4
18,20875, DK Metcalf,SEA,9,23,WR,WR5,275.38,16.7
19,19802, Calvin Ridley,ATL,6,26,WR,WR6,277.17,19.2
20,21042, A.J. Brown,TEN,13,23,WR,WR7,276.12,20.6
21,18858, Joe Mixon,CIN,10,24,RB,RB13,245.18,20.8
22,18890, Patrick Mahomes,KC,12,25,QB,QB1,396.81,20.9
23,19063, George Kittle,SF,6,27,TE,TE2,241.08,21.2
24,16964, Darren Waller,LV,8,28,TE,TE3,250.96,21.7
25,21684, D'Andre Swift,DET,9,22,RB,RB14,242.33,22.3
26,15076, Keenan Allen,LAC,7,29,WR,WR8,256.34,24.9
27,17960, Michael Thomas,NO,6,28,WR,WR9,267.36,25.7
28,21674, J.K. Dobbins,BAL,8,22,RB,RB15,226,26.2
29,21769, Clyde Edwards-Helaire,KC,12,22,RB,RB16,229.28,26.9
29,21685, Justin Jefferson,MIN,7,22,WR,WR10,271.99,26.9
31,20824, Josh Jacobs,LV,8,23,RB,RB17,217.99,28.7
32,20933, Miles Sanders,PHI,14,24,RB,RB18,227.53,30.9
33,20882, David Montgomery,CHI,10,24,RB,RB19,219.24,32.2
34,16263, Allen Robinson II,CHI,10,27,WR,WR11,259.64,33.8
35,20873, Terry McLaurin,WAS,9,25,WR,WR12,253.42,34.9
36,19119, Chris Carson,SEA,9,26,RB,RB20,221.09,35.4
37,21970, James Robinson,JAX,7,22,RB,RB21,173.8,35.8
38,19801, Josh Allen,BUF,7,25,QB,QB2,384.98,37
39,13291, Julio Jones,TEN,13,32,WR,WR13,229.63,37.5
40,16597, Mike Evans,TB,9,27,WR,WR14,238.74,38.1
41,16765, Amari Cooper,DAL,7,26,WR,WR15,240.87,40.8
42,18944, Kareem Hunt,CLE,13,25,RB,RB22,187.04,41.1
43,17217, Raheem Mostert,SF,6,29,RB,RB23,170.27,42.6
44,20889, Kyler Murray,ARI,12,23,QB,QB3,358.09,43.2
