RK,ID,NAME,TEAM,BYE,AGE,POS,POS RK,PTS,ADP
1,18877, Christian McCaffrey,CAR,13,25,RB,RB1,271.71,1.3
2,18872, Dalvin Cook,MIN,7,25,RB,RB2,262.77,2.4
3,17959, Derrick Henry,TEN,13,27,RB,RB3,269.3,2.8
4,19766, Saquon Barkley,NYG,10,24,RB,RB4,230.61,4.3
5,18878, Alvin Kamara,NO,6,25,RB,RB5,216.46,4.9
6,19798, Nick Chubb,CLE,13,25,RB,RB6,231.2,6.6
7,21682, Jonathan Taylor,IND,14,22,RB,RB7,233.39,6.9
8,17923, Ezekiel Elliott,DAL,7,25,RB,RB8,219.65,7.5
9,19045, Aaron Jones,GB,13,26,RB,RB9,214.8,9.3
10,16470, Davante Adams,GB,13,28,WR,WR1,215.45,10.2
11,15048, Travis Kelce,KC,12,31,TE,TE1,194.92,10.5
12,18082, Tyreek Hill,KC,12,27,WR,WR2,214.19,11.4
13,21861, Antonio Gibson,WAS,9,22,RB,RB10,192.07,13.8
14,21688, Cam Akers,LAR,11,21,RB,RB11,211.88,14.3
14,16906, Stefon Diggs,BUF,7,27,WR,WR3,172.4,14.3
16,18890, Patrick Mahomes,KC,12,25,QB,QB1,396.81,15.7
17,20824, Josh Jacobs,LV,8,23,RB,RB12,187.69,16
18,19562, Austin Ekeler,LAC,7,26,RB,RB13,184.81,16.7
19,20875, DK Metcalf,SEA,9,23,WR,WR4,190.18,17.2
20,14986, DeAndre Hopkins,ARI,12,29,WR,WR5,176.3,17.3
21,21970, James Robinson,JAX,7,22,RB,RB14,136.5,19.8
22,18858, Joe Mixon,CIN,10,24,RB,RB15,195.68,21.1
23,21042, A.J. Brown,TEN,13,23,WR,WR6,190.62,22.1
23,19802, Calvin Ridley,ATL,6,26,WR,WR7,180.47,22.1
25,19063, George Kittle,SF,6,27,TE,TE2,152.28,22.2
26,21674, J.K. Dobbins,BAL,8,22,RB,RB16,194,22.6
27,21685, Justin Jefferson,MIN,7,22,WR,WR8,179.59,25.7
28,20933, Miles Sanders,PHI,14,24,RB,RB17,184.13,26.8
29,16964, Darren Waller,LV,8,28,TE,TE3,152.76,27
